sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,portfolio_code,portfolio_return
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-11-30,P07,-7.771505648800125
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-11-30,P08,-5.378596084760863
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-11-30,P09,-5.767049264363058
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-11-30,P10,-2.2965866313485033
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P01,1.1928479908737046
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P02,1.4484517075594254
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P03,0.9591956924008725
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P04,3.0724513126234503
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P05,-1.702448445563087
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P06,-0.07880989812095941
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P07,-3.27971528450345
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P08,-4.0964165411223545
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P09,-4.100002205411948
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-12-31,P10,-0.45956184738096173
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P01,6.140906171914652
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P02,8.135471389399962
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P03,11.78920491516888
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P04,12.182988598576062
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P05,8.518606568876223
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P06,14.251113011865112
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P07,7.536388696610498
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P08,13.51027900707621
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P09,15.827802394321793
XTURN,continuous,low_minus_high,low_share_turnover,2000-02-29,P10,21.04840666301715
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P01,-2.4328617305398854
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P02,3.3573913603703365
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P03,2.377134842036107
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P04,0.14069547576170158
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P05,2.009715654612422
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P06,12.369625951591722
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P07,2.176708160879287
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P08,-0.23984412383928821
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P09,-5.14137763337076
XTURN,continuous,low_minus_high,low_share_turnover,2000-03-31,P10,-18.079792054386466
XTURN,continuous,low_minus_high,low_share_turnover,2000-04-30,P01,-3.218458040182479
XTURN,continuous,low_minus_high,low_share_turnover,2000-04-30,P02,2.2102946917030066
XTURN,continuous,low_minus_high,low_share_turnover,2000-04-30,P03,-1.1608579701110817
XTURN,continuous,low_minus_high,low_share_turnover,2000-04-30,P04,-0.9854566335866143
XTURN,continuous,low_minus_high,low_share_turnover,2000-04-30,P05,5.725903688383453
XTURN,continuous,low_minus_high,low_share_turnover,2000-04-30,P06,-1.8260688158547909
XTURN,continuous,low_minus_high,low_share_turnover,2000-04-30,P07,-3.146110905909506
